targetX,cueOri,congr,corrAns,pin_cue,pin_target,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,posner_task.thisRepN,posner_task.thisTrialN,posner_task.thisN,posner_task.thisIndex,port_start_block.started,port_start_block.stopped,text_2.started,text_2.stopped,p_port.started,p_port.stopped,text.started,text.stopped,fixation_1.started,fixation_1.stopped,fixation_2.started,fixation_2.stopped,cue.started,cue.stopped,target.started,target.stopped,correct_key_resp.keys,correct_key_resp.corr,correct_key_resp.started,correct_key_resp.stopped,early_resp.keys,early_resp.started,early_resp.stopped,trigger_cue.started,trigger_cue.stopped,trigger_target.started,trigger_target.stopped,correct_key_resp.rt,break_text.started,break_text.stopped,end_port.started,end_port.stopped,participant,session,date,expName,psychopyVersion,frameRate,
-0.5,0,1,left,1,3,0,0,0,0,2,1,17,2,,,,,,,,,61.88576830000011,62.38506589999997,63.10292769999978,None,62.40202709999994,63.0861288000001,63.60364010000012,None,left,1,63.60364010000012,None,None,62.40202709999994,63.58686690000013,0.5103883000001588,0.5939402000003611,1.7121658000000934,1.7957526000000144,0.33111959999996543,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
0.5,180,1,right,2,4,0,0,0,0,2,2,18,6,,,,,,,,,63.95552690000022,64.4547907000001,65.17241240000021,None,64.4713998000002,65.1556873999998,65.67314020000003,None,right,1,65.67314020000003,None,None,64.4713998000002,65.65643099999988,0.5109576999998353,0.5941361999998662,1.7125842000000375,1.7959797999997136,0.2774842999997418,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
-0.5,0,1,left,1,3,0,0,0,0,2,3,19,0,,,,,,,,,65.97432710000021,66.47427049999988,67.19196909999982,None,66.49080649999996,67.1750305999999,67.69257430000016,None,left,1,67.69257430000016,None,None,66.49080649999996,67.67589929999986,0.5114550000002964,0.5947479999999814,1.7130630999999994,1.796383600000354,0.29018660000019736,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
0.5,0,0,right,1,4,0,0,0,0,2,4,20,3,,,,,,,,,68.01013349999994,68.51007630000004,69.22796999999991,None,68.52701949999982,69.21109320000005,69.72874749999983,None,right,1,69.72874749999983,None,None,68.52701949999982,69.71194449999984,0.5113262999998369,0.5950388000001112,1.7131749999998647,1.7966781999998602,0.334239400000115,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
-0.5,180,0,left,2,3,0,0,0,0,2,5,21,4,,,,,,,,,70.07968900000014,70.57957429999988,71.2974365,None,70.59649930000023,71.28069770000002,71.79807840000012,None,left,1,71.79807840000012,None,None,70.59649930000023,71.78149540000004,0.5114395000000513,0.5952768000001925,1.7133672999998453,1.7966965000000528,0.3604549000001498,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
0.5,180,1,right,2,4,0,0,0,0,2,6,22,5,,,,,,,,,72.18286910000006,72.6829260999998,73.40014269999983,None,72.69923030000018,73.38378130000001,73.90088710000009,None,right,1,73.90088710000009,None,None,72.69923030000018,73.88447649999989,0.5115362999999888,0.5946702000001096,1.7130687999997463,1.7964604999997391,0.32175039999992805,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
0.5,180,1,right,2,4,0,0,0,0,2,7,23,7,,,,,,,,,74.25226539999994,74.75242829999979,75.4697583000002,None,74.76874420000013,75.45325860000003,75.9704327999998,None,right,1,75.9704327999998,None,None,74.76874420000013,75.95400569999993,0.5117302000003292,0.5949593000000277,1.713295200000175,1.796596000000136,0.3003500999998323,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
-0.5,0,1,left,1,3,0,0,0,0,3,0,24,2,,,,,,,,,76.28847459999997,76.78838499999983,77.5061426000002,None,76.80516140000009,77.48911839999982,78.00684589999992,None,left,1,78.00684589999992,None,None,76.80516140000009,77.98987870000019,0.5114278000000922,0.5948781000001873,1.7129041000002871,1.7963535000003503,0.2958174999998846,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
-0.5,0,1,left,1,3,0,0,0,0,3,1,25,0,,,,,,,,,78.3249608000001,78.82456910000019,79.54206890000023,None,78.84102429999984,79.52551619999986,80.0429138999998,None,left,1,80.0429138999998,None,None,78.84102429999984,80.02625380000018,0.5113093999998455,0.5947332000000642,1.712978000000021,1.7961880000002566,0.3238128000002689,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
0.5,180,1,right,2,4,0,0,0,0,3,2,26,5,,,,,,,,,80.39404969999987,80.89405140000008,81.61150690000022,None,80.91052850000005,81.59498190000022,82.11252839999997,None,right,1,82.11252839999997,None,None,80.91052850000005,82.09568549999995,0.5113804999996319,0.5946355999999469,1.7130026999998336,1.7963327999996181,0.30206800000041767,,,,,nat_1,001,2020_Jan_31_1418,posner,3.1.5,59.96339834168466,
