targetX,cueOri,congr,corrAns,pin_cue,pin_target,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,posner_task.thisRepN,posner_task.thisTrialN,posner_task.thisN,posner_task.thisIndex,port_start_block.started,port_start_block.stopped,text_2.started,text_2.stopped,p_port.started,p_port.stopped,text.started,text.stopped,fixation_1.started,fixation_1.stopped,fixation_2.started,fixation_2.stopped,cue.started,cue.stopped,target.started,target.stopped,correct_key_resp.keys,correct_key_resp.corr,correct_key_resp.rt,correct_key_resp.started,correct_key_resp.stopped,early_resp.keys,early_resp.started,early_resp.stopped,trigger_cue.started,trigger_cue.stopped,trigger_target.started,trigger_target.stopped,break_text.started,break_text.stopped,end_port.started,end_port.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.5,180,1,right,2,4,0,0,0,0,3,3,27,6,,,,,,,,,80.70765790000041,81.20740209999985,81.9251347999998,None,81.22407360000034,81.90858560000015,82.42561459999979,None,right,1,0.31784049999987474,82.42561459999979,None,None,81.22407360000034,82.40929219999998,0.5113133999993806,0.5947876000000178,1.713179599999421,1.796351500000128,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
0.5,180,1,right,2,4,0,0,0,0,3,4,28,7,,,,,,,,,82.76013690000036,83.2603694999998,83.97791180000058,None,83.27716330000021,83.96125810000012,84.47872819999975,None,right,1,0.2568344999999681,84.47872819999975,None,None,83.27716330000021,84.4618958000001,0.5119778999996925,0.5952470000001995,1.7134746000001542,1.7969489999995858,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
0.5,0,0,right,1,4,0,0,0,0,3,5,29,3,,,,,,,,,84.76302889999988,85.26293859999987,85.98075530000006,None,85.2800326000006,85.9640288999999,86.48126769999999,None,right,1,0.3343123000004198,86.48126769999999,None,None,85.2800326000006,86.46455250000054,0.5115492000004451,0.5950479000002815,1.7131484999999884,1.796643500000755,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
-0.5,0,1,left,1,3,0,0,0,0,3,6,30,2,,,,,,,,,86.83264469999995,87.33235169999989,88.05024980000053,None,87.34927100000004,88.03356150000036,88.55089820000012,None,left,1,0.32887810000011086,88.55089820000012,None,None,87.34927100000004,88.53407460000017,0.5114795999998023,0.5950962000006257,1.7131835000000137,1.7967311000002155,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
-0.5,0,1,left,1,3,0,0,0,0,3,7,31,0,,,,,,,,,88.90212539999993,89.40184529999988,90.1198460000005,None,89.41873750000013,90.1029253000006,90.62045610000041,None,left,1,0.3150477999997747,90.62045610000041,None,None,89.41873750000013,90.60362880000048,0.5113793999998961,0.594987299999957,1.7131491000000096,1.7966894000001048,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
-0.5,180,0,left,2,3,0,0,0,0,4,0,32,4,,,,,,,,,90.9550919000003,91.45517160000054,92.17267489999995,None,91.47155660000044,92.15577600000051,92.67307979999987,None,left,1,0.3263625999998112,92.67307979999987,None,None,91.47155660000044,92.6565258999999,0.5117583999999624,0.5948847999998179,1.7130968000001303,1.7966661000000386,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
0.5,180,1,right,2,4,0,0,0,0,4,1,33,5,,,,,,,,,93.02442380000048,93.52423240000007,94.24192440000024,None,93.54118930000004,94.22547519999989,94.74271539999972,None,right,1,0.3206436999998914,94.74271539999972,None,None,93.54118930000004,94.72622120000051,0.5115055000005668,0.595546500000637,1.7134586000001946,1.7967757000005804,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
0.5,180,1,right,2,4,0,0,0,0,4,2,34,6,,,,,,,,,95.09374040000057,95.59392949999983,96.31156180000016,None,95.61074290000033,96.2948008000003,96.81232890000047,None,right,1,0.31508670000039274,96.81232890000047,None,None,95.61074290000033,96.79550530000051,0.5116155000005165,0.5950533000004725,1.7131688999998005,1.7967827000002217,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
0.5,0,0,right,1,4,0,0,0,0,4,3,35,3,,,,,,,,,97.14737030000015,97.64656520000062,98.36438129999988,None,97.66332950000015,98.34772770000018,98.86503630000061,None,right,1,0.32641170000079,98.86503630000061,None,None,97.66332950000015,98.84825420000016,0.5109910999999556,0.594608700000208,1.7126515999998446,1.7960128999993685,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
-0.5,0,1,left,1,3,0,0,0,0,4,4,36,1,,,,,,,,,99.21660830000019,99.71620940000048,100.43370640000012,None,99.73256889999993,100.4172423,100.93441729999995,None,left,1,0.3609117999994851,100.93441729999995,None,None,99.73256889999993,100.91779810000025,0.511484499999824,0.5946000000003551,1.7130669999996826,1.7964158000004318,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
-0.5,0,1,left,1,3,0,0,0,0,4,5,37,2,,,,,,,,,101.31920960000025,101.8192267000004,102.5368527999999,None,101.8358089000003,102.5201517000005,103.03743699999995,None,left,1,0.3139757000008103,103.03743699999995,None,None,101.8358089000003,103.02088860000003,0.5118615000001228,0.5950256999994963,1.7135092999997141,1.7967066000001068,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
0.5,180,1,right,2,4,0,0,0,0,4,6,38,7,,,,,,,,,103.37175920000027,103.87173789999997,104.5896444,None,103.8887362000005,104.5728595999999,105.09017050000057,None,right,1,0.3092544999999518,105.09017050000057,None,None,103.8887362000005,105.07354020000002,0.5115014000002702,0.5953394999996817,1.7132824999998775,1.7968902000002345,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
-0.5,0,1,left,1,3,0,0,0,0,4,7,39,0,,,,,,,,,105.42463380000027,105.92475530000047,106.64244810000037,None,105.94132069999978,106.62573460000021,107.14315570000053,None,left,1,0.31229350000012346,107.14315570000053,None,None,105.94132069999978,107.12633389999974,0.5121748999999909,0.5953572000007625,1.7134288000006563,1.7971569999999701,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
-0.5,180,0,left,2,3,0,0,0,0,5,0,40,4,,,,,,,,,107.47800650000045,107.9775639999998,108.69525460000023,None,107.99425950000023,108.67852930000026,109.19597140000042,None,left,1,0.29952830000001995,109.19597140000042,None,None,107.99425950000023,109.1794289999998,0.5113373000003776,0.5947288000006665,1.7131824000007327,1.7963737000000037,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
0.5,180,1,right,2,4,0,0,0,0,5,1,41,5,,,,,,,,,109.51385620000019,110.01366260000032,110.73122130000047,None,110.03039950000039,110.71477950000008,111.2318935000003,None,left,0,0.30339009999988775,111.2318935000003,None,None,110.03039950000039,111.21527650000007,0.5114273999997749,0.595040300000619,1.71302199999991,1.7967208000000028,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
0.5,180,1,right,2,4,0,0,0,0,5,2,42,6,,,,,,,,,111.56689230000029,112.06655610000053,112.78414500000054,None,112.08314630000041,112.76743630000055,113.2849341000001,None,right,1,0.33047780000015337,113.2849341000001,None,None,112.08314630000041,113.26820279999993,0.5112517999996271,0.5946166999992784,1.71288099999947,1.7963868999995611,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
-0.5,0,1,left,1,3,0,0,0,0,5,3,43,1,,,,,,,,,113.63635979999981,114.13597579999987,114.85364570000002,None,114.15265390000059,114.8370487000002,115.35432889999993,None,left,1,0.2609560999999303,115.35432889999993,None,None,114.15265390000059,115.33761670000058,0.5113203999999314,0.594885599999543,1.7129391999997097,1.7965154000003167,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
-0.5,0,1,left,1,3,0,0,0,0,5,4,44,2,,,,,,,,,115.63885149999987,116.13869849999992,116.85648970000057,None,116.15559180000037,116.83991280000009,117.35705880000023,None,left,1,0.30641259999993053,117.35705880000023,None,None,116.15559180000037,117.3404244000003,0.5118421999995917,0.5953675999999177,1.713550700000269,1.7969469999998182,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
0.5,180,1,right,2,4,0,0,0,0,5,5,45,7,,,,,,,,,117.69173800000044,118.19172470000012,118.90952720000041,None,118.20848790000036,118.89250850000008,119.41016390000004,None,right,1,0.2613766000004034,119.41016390000004,None,None,118.20848790000036,119.39333200000056,0.5117944999992687,0.5951533999996172,1.713386499999615,1.7969851999996536,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
0.5,0,0,right,1,4,0,0,0,0,5,6,46,3,,,,,,,,,119.69485859999986,120.19422290000057,120.91194840000026,None,120.2110388000001,120.89553140000044,121.41274500000054,None,left,0,0.3066482999993241,121.41274500000054,None,None,120.2110388000001,121.39615510000021,0.5111770000003162,0.5948093000006338,1.7130925999999818,1.796299700000418,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
-0.5,0,1,left,1,3,0,0,0,0,5,7,47,0,,,,,,,,,121.74706419999984,122.24702940000043,122.96484969999983,None,122.26375819999976,122.94825270000001,123.4653898000006,None,left,1,0.31788200000028155,123.4653898000006,None,None,122.26375819999976,123.44873550000011,0.5114120999996885,0.5951067999994848,1.713094399999136,1.796548399999665,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
-0.5,0,1,left,1,3,0,0,0,0,6,0,48,0,,,,,,,,,123.80018149999978,124.30003740000029,125.01778040000045,None,124.31671780000033,125.00098520000029,125.51836170000024,None,left,1,0.32093499999973574,125.51836170000024,None,None,124.31671780000033,125.50175970000055,0.51162850000037,0.5950030000003608,1.7133364000001166,1.796639099999993,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
0.5,180,1,right,2,4,0,0,0,0,6,1,49,6,,,,,,,,,125.86970120000024,126.36964350000017,127.08725959999992,None,126.38633579999987,127.07040710000001,127.58781590000035,None,right,1,0.2676030000002356,127.58781590000035,None,None,126.38633579999987,127.57116630000019,0.5116736999998466,0.5949226000002454,1.7131800999995903,1.7967769999995653,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
0.5,180,1,right,2,4,0,0,0,0,6,2,50,7,,,,,,,,,127.87223679999988,128.3722090000001,129.08996509999997,None,128.3888308000005,129.07320900000013,129.59062450000056,None,right,1,0.2888683999999557,129.59062450000056,None,None,128.3888308000005,129.57373199999984,0.5116408000003503,0.5951097999995909,1.713144000000284,1.7968674000003375,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
0.5,0,0,right,1,4,0,0,0,0,6,3,51,3,,,,,,,,,129.90866220000044,130.40867320000052,131.12599899999987,None,130.4254735000004,131.10957240000062,131.62689990000035,None,right,1,0.3324592999997549,131.62689990000035,None,None,130.4254735000004,131.61002860000008,0.5118249000006472,0.5948250000001281,1.7131814000003942,1.796644699999888,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
-0.5,180,0,left,2,3,0,0,0,0,6,4,52,4,,,,,,,,,131.9779548000006,132.4779505000006,133.19560120000006,None,132.49476070000037,133.17893389999972,133.69629470000018,None,left,1,0.31898830000045564,133.69629470000018,None,None,132.49476070000037,133.67981280000004,0.5117661000003864,0.595263299999715,1.713605699999789,1.7969004999995377,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
0.5,180,1,right,2,4,0,0,0,0,6,5,53,5,,,,,,,,,134.03066990000025,134.53068710000025,135.24840790000053,None,134.54745490000005,135.23163900000054,135.7491841000001,None,right,1,0.25809360000039305,135.7491841000001,None,None,134.54745490000005,135.73235579999982,0.5116087999995216,0.5950277000001734,1.7132578999999168,1.7966232999997374,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
-0.5,0,1,left,1,3,0,0,0,0,6,6,54,1,,,,,,,,,136.03377020000062,136.53341980000005,137.2510499,None,136.55026420000013,137.2344817000003,137.75182459999996,None,left,1,0.30337280000003375,137.75182459999996,None,None,136.55026420000013,137.73531000000003,0.5115112000003137,0.5949963000002754,1.7133783000008407,1.7967132000003403,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
-0.5,0,1,left,1,3,0,0,0,0,6,7,55,2,,,,,,,,,138.08621920000041,138.58635510000022,139.30388250000033,None,138.60283609999988,139.28728210000008,139.80459950000022,None,left,1,0.338841599999796,139.80459950000022,None,None,138.60283609999988,139.78810770000018,0.5122678999996424,0.5958713999998508,1.7140023000001747,1.7972086999998282,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
-0.5,0,1,left,1,3,0,0,0,0,7,0,56,2,,,,,,,,,140.17274030000044,140.67229899999984,141.39033370000016,None,140.68928219999998,141.37335129999974,141.89109710000048,None,left,1,0.32415450000007695,141.89109710000048,None,None,140.68928219999998,141.8740482000003,0.5114409999996496,0.5952306999997745,1.713170099999843,1.7968942999996216,,,,,nikita_3,001,2020_Feb_13_1331,posner,3.1.5,59.925883666929955,
