targetX,cueOri,congr,corrAns,pin_cue,pin_target,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,posner_task.thisRepN,posner_task.thisTrialN,posner_task.thisN,posner_task.thisIndex,port_start_block.started,port_start_block.stopped,text_2.started,text_2.stopped,p_port.started,p_port.stopped,text.started,text.stopped,fixation_1.started,fixation_1.stopped,fixation_2.started,fixation_2.stopped,cue.started,cue.stopped,target.started,target.stopped,correct_key_resp.keys,correct_key_resp.corr,correct_key_resp.rt,correct_key_resp.started,correct_key_resp.stopped,early_resp.keys,early_resp.rt,early_resp.started,early_resp.stopped,trigger_cue.started,trigger_cue.stopped,trigger_target.started,trigger_target.stopped,break_text.started,break_text.stopped,end_port.started,end_port.stopped,participant,session,date,expName,psychopyVersion,frameRate,
-0.5,0,1,left,1,3,0,0,0,0,2,5,21,1,,,,,,,,,61.99313929999971,62.49265589999959,63.21049909999965,None,62.50960329999998,63.19363280000016,63.71112339999945,None,left,1,0.33788129999993544,63.71112339999945,None,None,,62.50960329999998,63.694386099999974,0.5112193000004481,0.594673600000533,1.7129355000006399,1.7965066000006118,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
0.5,180,1,right,2,4,0,0,0,0,2,6,22,6,,,,,,,,,64.07891399999971,64.57910019999963,65.29661029999988,None,64.59572859999935,65.28008049999971,65.79734029999963,None,right,1,0.25958100000025297,65.79734029999963,None,None,,64.59572859999935,65.7804956,0.5117577000000892,0.5950546000003669,1.713140900000326,1.796758000000409,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
-0.5,0,1,left,1,3,0,0,0,0,2,7,23,2,,,,,,,,,66.08197959999961,66.58146870000019,67.2994192999995,None,66.59854649999943,67.28271640000003,67.8002704999999,None,left,1,0.32877280000047904,67.8002704999999,None,None,,66.59854649999943,67.78327899999931,0.5115154000004623,0.5951990000003207,1.713309499999923,1.7968876000004457,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
0.5,180,1,right,2,4,0,0,0,0,3,0,24,5,,,,,,,,,68.15182000000004,68.65152129999933,69.36891769999966,None,68.6680069999993,69.35218359999999,69.86954449999939,None,right,1,0.25948890000017855,69.86954449999939,None,None,,68.6680069999993,69.85281589999977,0.5119081000002552,0.5950780000002851,1.7131886000006489,1.7968906000005518,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
0.5,180,1,right,2,4,0,0,0,0,3,1,25,6,,,,,,,,,70.15464509999947,70.65414599999986,71.37151879999965,None,70.67054800000005,71.35511779999979,71.87221390000013,None,right,1,0.32074419999935344,71.87221390000013,None,None,,70.67054800000005,71.8555421000001,0.5118194999995467,0.595097700000224,1.7131946999998036,1.7969481000000087,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
-0.5,0,1,left,1,3,0,0,0,0,3,2,26,2,,,,,,,,,72.2235686999993,72.72348669999974,73.4411455999998,None,72.74016239999946,73.4243292000001,73.9418754999997,None,left,1,0.2832146999999168,73.9418754999997,None,None,,72.74016239999946,73.92533989999993,0.5116637999999512,0.5951783000000432,1.7134934999994584,1.796818699999676,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
-0.5,0,1,left,1,3,0,0,0,0,3,3,27,0,,,,,,,,,74.24321640000016,74.74275289999969,75.4607403,None,74.75982979999935,75.44383769999968,75.96121640000001,None,left,1,0.31173429999944346,75.96121640000001,None,None,,74.75982979999935,75.94461799999954,0.5111576999997851,0.5948054999998931,1.7130120000001625,1.7965293999995993,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
-0.5,180,0,left,2,3,0,0,0,0,3,4,28,4,,,,,,,,,76.29629849999947,76.79595749999953,77.51344340000014,None,76.81239109999933,77.49680009999975,78.01417969999966,None,left,1,0.29899050000040006,78.01417969999966,None,None,,76.81239109999933,77.99736719999964,0.5115288999995755,0.5949289000000135,1.7129249999998137,1.7964253000000099,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
-0.5,0,1,left,1,3,0,0,0,0,3,5,29,1,,,,,,,,,78.33214869999938,78.83182189999934,79.54957299999933,None,78.84863889999997,79.53277209999942,80.05029229999946,None,left,1,0.3507303000005777,80.05029229999946,None,None,,78.84863889999997,80.03348310000001,0.5114793000002464,0.5950567999998384,1.7131240999997317,1.7969192000000476,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
0.5,0,0,right,1,4,0,0,0,0,3,6,30,3,,,,,,,,,80.41872059999969,80.91819659999965,81.6359623999997,None,80.93498480000017,81.61925419999989,82.13657890000013,None,right,1,0.3203961999997773,82.13657890000013,None,None,,80.93498480000017,82.11975559999973,0.5113489999994272,0.5945162999996683,1.7128948999998101,1.7962139000001116,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
0.5,180,1,right,2,4,0,0,0,0,3,7,31,7,,,,,,,,,82.48753669999951,82.98762110000007,83.70550589999948,None,83.00436039999931,83.68871089999993,84.20597739999994,None,right,1,0.2909477999992305,84.20597739999994,None,None,,83.00436039999931,84.18941249999989,0.5117470999994111,0.595064099999945,1.7135166999996727,1.7969195999994554,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
0.5,0,0,right,1,4,0,0,0,0,4,0,32,3,,,,,,,,,84.52407940000012,85.02359509999951,85.74127580000004,None,85.04046019999987,85.72477960000015,86.24205110000003,None,right,1,0.278863999999885,86.24205110000003,None,None,,85.04046019999987,86.22561659999974,0.5113611000006131,0.5949940000000424,1.7133639000003313,1.7967208999998547,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
0.5,180,1,right,2,4,0,0,0,0,4,1,33,7,,,,,,,,,86.54358989999946,87.04307019999942,87.7611068999995,None,87.05999209999936,87.74423369999931,88.26150150000012,None,right,1,0.2753726999999344,88.26150150000012,None,None,,87.05999209999936,88.2448932999996,0.5114126999997097,0.5950428999994983,1.7132105999999112,1.796624300000076,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
-0.5,0,1,left,1,3,0,0,0,0,4,2,34,2,,,,,,,,,88.56274089999988,89.06258759999946,89.7803130000002,None,89.07943299999988,89.76369419999992,90.2810101999994,90.76511829999981,None,0,,90.2810101999994,None,None,,89.07943299999988,90.26427349999994,0.5116371999993135,0.5952011999997922,1.713309599999775,1.7967580999993515,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
-0.5,180,0,left,2,3,0,0,0,0,4,3,35,4,,,,,,,,,91.26582049999979,91.76635309999983,92.48390380000001,91.26582049999979,91.78294909999931,92.46738109999933,92.98468689999936,None,left,1,0.3762144000002081,92.98468689999936,None,None,,91.78294909999931,92.96806519999973,0.513730000000578,0.5973802999997133,1.7154172999998991,1.798729099999946,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
0.5,180,1,right,2,4,0,0,0,0,4,4,36,5,,,,,,,,,93.38619949999975,93.88577189999978,94.60359859999971,None,93.90258409999933,94.58688230000007,95.10425709999981,None,right,1,0.32070400000066,95.10425709999981,None,None,,93.90258409999933,95.08774360000007,0.5112576999999874,0.5949753999993845,1.7132020999997621,1.7964203999999881,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
-0.5,0,1,left,1,3,0,0,0,0,4,5,37,1,,,,,,,,,95.4556107999997,95.95553549999931,96.6730536999994,None,95.97202359999937,96.65637619999961,97.17376139999942,None,left,1,0.28316259999974136,97.17376139999942,None,None,,95.97202359999937,97.15707440000006,0.5115889999997307,0.5950973999997586,1.7131147000000055,1.7965354999996634,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
0.5,180,1,right,2,4,0,0,0,0,4,6,38,6,,,,,,,,,97.47544769999968,97.97489229999974,98.69240339999942,None,97.99153130000013,98.67582719999973,99.19315579999966,None,right,1,0.26381409999976313,99.19315579999966,None,None,,97.99153130000013,99.17661339999995,0.5116229999994175,0.5952971999995498,1.713324499999544,1.7968025000000125,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
-0.5,0,1,left,1,3,0,0,0,0,4,7,39,0,,,,,,,,,99.47796490000019,99.9777051000001,100.6953695000002,None,99.99443259999953,100.67853439999999,101.19611859999986,None,right,0,0.2767433999997593,101.19611859999986,None,None,,99.99443259999953,101.17943620000005,0.5112854000008156,0.5946827000007033,1.712999100000161,1.7963410000002114,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
-0.5,180,0,left,2,3,0,0,0,0,5,0,40,4,,,,,,,,,101.49716609999996,101.99711250000018,102.71480249999968,None,102.01381089999995,102.69812889999957,103.21545679999963,None,left,1,0.3534134000001359,103.21545679999963,None,None,,102.01381089999995,103.19901539999955,0.511706199999935,0.5951374000005671,1.7135792999997648,1.796795000000202,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
-0.5,0,1,left,1,3,0,0,0,0,5,1,41,0,,,,,,,,,103.59994000000006,104.1000342999996,104.81763359999968,None,104.11667639999996,104.80094300000019,105.31838530000005,None,left,1,0.3065545999997994,105.31838530000005,None,None,,104.11667639999996,105.30150229999981,0.5116899000004196,0.5949626999999964,1.7131426000005376,1.7970107999999527,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
-0.5,0,1,left,1,3,0,0,0,0,5,2,42,1,,,,,,,,,105.65360199999941,106.15309829999933,106.8705087999997,None,106.16963759999999,106.85376550000001,107.37101489999986,None,left,1,0.2938790999996854,107.37101489999986,None,None,,106.16963759999999,107.3547282999998,0.5117901000003258,0.5949199999995471,1.7133966000001237,1.796712800000023,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
-0.5,0,1,left,1,3,0,0,0,0,5,3,43,2,,,,,,,,,107.6889384999995,108.18918969999959,108.90656179999951,None,108.2057421999998,108.88999069999954,109.4072744999994,None,left,1,0.30563359999996464,109.4072744999994,None,None,,108.2057421999998,109.39065159999973,0.5119899000001169,0.59517440000036,1.7134399000005942,1.7968901000003825,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
0.5,180,1,right,2,4,0,0,0,0,5,4,44,7,,,,,,,,,109.74154790000011,110.2417876999998,110.95967709999968,None,110.25843410000016,110.94274549999955,111.46035659999961,None,right,1,0.32452029999967635,111.46035659999961,None,None,,110.25843410000016,111.44336589999966,0.5119543999999223,0.5955463000000236,1.7135152999999264,1.797087900000406,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
0.5,0,0,right,1,4,0,0,0,0,5,5,45,3,,,,,,,,,111.81161679999968,112.31124699999964,113.02888840000014,None,112.3280066999996,113.01220980000016,113.52952730000015,None,right,1,0.31153619999986404,113.52952730000015,None,None,,112.3280066999996,113.51293819999955,0.5117049000000407,0.5953191999997216,1.7133738000002268,1.7968088999996326,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
0.5,180,1,right,2,4,0,0,0,0,5,6,46,5,,,,,,,,,113.86439789999986,114.36406159999933,115.0816907999997,None,114.38062549999995,115.06506899999931,115.58260559999962,None,right,1,0.3303071000000273,115.58260559999962,None,None,,114.38062549999995,115.56568059999972,0.5115482999999585,0.5952151999999842,1.7131532000003062,1.7972826000004716,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
0.5,180,1,right,2,4,0,0,0,0,5,7,47,6,,,,,,,,,115.9340831999998,116.4335503000002,117.15151719999994,None,116.45044349999989,117.13465550000001,117.65223329999935,None,right,1,0.45253690000026836,117.65223329999935,None,None,,116.45044349999989,117.63544490000004,0.5114962000006926,0.5952590000006239,1.713371100000586,1.7967425000006187,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
0.5,0,0,right,1,4,0,0,0,0,6,0,48,3,,,,,,,,,118.13661279999997,118.63664679999965,119.35427889999937,None,118.65352579999944,119.33776119999948,119.85509289999936,118.13661279999997,right,1,0.3696872999998959,119.85509289999936,None,None,,118.65352579999944,119.8384804999996,0.5114696000000549,0.5948418999996647,1.713286700000026,1.7964070999996693,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
0.5,180,1,right,2,4,0,0,0,0,6,1,49,6,,,,,,,,,120.2563854,120.75636549999945,121.47373619999962,None,120.77286969999932,121.45732339999995,121.97474559999955,None,right,1,0.3620470000005298,121.97474559999955,None,None,,120.77286969999932,121.95809159999953,0.5115649999997913,0.5950773999993544,1.7132776999997077,1.7964244999993753,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
0.5,180,1,right,2,4,0,0,0,0,6,2,50,7,,,,,,,,,122.3595519999999,122.85925169999973,123.57675589999963,None,122.87599150000005,123.56019819999983,124.07756309999968,None,right,1,0.39546529999915947,124.07756309999968,None,None,,122.87599150000005,124.06079510000018,0.5116478999998435,0.5949101999995037,1.7131726999996317,1.7965499000001728,,,,,syed_2,001,2020_Feb_07_1537,posner,3.1.5,59.87690505849263,
